pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,monto_total
1,26,1,2024-05-17,5,448.33
2,62,9,2023-08-04,4,44.73
3,98,7,2023-09-17,1,197.91
4,51,5,2024-05-12,4,464.41
5,79,4,2023-11-18,1,173.88
6,22,9,2023-10-12,1,154.04
7,54,8,2024-05-05,2,303.36
8,30,5,2023-12-13,2,54.1
9,5,3,2023-08-16,6,180.24
10,53,8,2023-07-31,6,280.98
11,76,6,2023-08-08,10,443.1
12,97,5,2023-10-01,1,12.14
13,48,8,2024-01-28,1,473.77
14,70,2,2024-05-29,5,406.68
15,68,6,2023-08-24,9,330.97
16,44,1,2024-02-08,4,287.38
17,99,8,2024-05-01,2,394.81
18,46,10,2023-09-04,10,230.15
19,63,6,2023-08-16,5,352.86
20,2,7,2023-09-28,1,248.68
21,64,4,2024-06-23,6,175.71
22,19,2,2024-02-15,10,344.68
23,100,7,2023-10-25,6,166.15
24,26,4,2024-01-15,2,496.47
25,93,6,2023-07-09,6,427.32
26,77,8,2023-09-30,5,310.55
27,57,7,2024-04-19,9,69.62
28,68,6,2023-10-10,6,420.56
29,43,4,2024-06-30,7,59.31
30,17,1,2023-07-31,5,227.25
31,95,2,2023-10-20,2,414.24
32,82,7,2023-09-26,7,207.34
33,68,3,2023-08-25,9,369.3
34,49,3,2024-06-06,3,79.66
35,20,1,2024-01-06,4,345.8
36,29,9,2023-08-29,1,414.82
37,72,7,2023-07-19,10,309.39
38,83,9,2023-12-25,10,210.67
39,26,8,2024-06-24,2,379.12
40,36,5,2023-07-10,8,281.68
41,61,2,2024-06-25,8,247.04
42,2,3,2023-10-24,5,402.43
43,79,2,2023-10-10,3,215.21
44,21,7,2024-05-18,10,337.83
45,39,3,2024-06-11,2,291.67
46,49,7,2024-05-06,2,333.63
47,89,5,2024-06-01,10,57.44
48,35,10,2024-01-24,7,260.86
49,95,10,2023-08-08,4,224.32
50,90,10,2024-01-21,1,388.8
51,98,8,2024-02-04,9,372.77
52,75,3,2024-05-08,5,209.69
53,28,6,2024-02-19,4,434.34
54,19,7,2024-04-12,8,266.26
55,31,9,2024-01-01,6,205.71
56,34,8,2024-05-26,6,80.09
57,87,6,2023-09-29,3,97.48
58,10,8,2024-05-15,1,301.77
59,76,1,2024-01-08,2,188.18
60,7,8,2024-02-17,8,182.65
61,1,3,2024-02-07,8,260.1
62,58,4,2023-08-12,9,323.63
63,13,6,2024-01-16,3,136.18
64,49,8,2024-05-19,4,357.39
65,5,7,2024-06-07,2,240.96
66,31,3,2023-12-01,3,486.24
67,41,6,2024-06-15,7,279.8
68,13,2,2024-04-01,8,422.45
69,71,1,2023-07-07,3,292.33
70,24,4,2024-06-27,2,439.72
71,93,5,2023-09-16,3,33.49
72,26,9,2024-03-02,1,264.04
73,100,7,2024-05-05,6,311.48
74,55,9,2024-01-11,9,263.17
75,78,7,2023-12-22,2,319.29
76,44,5,2024-01-13,10,386.37
77,52,1,2024-04-17,1,40.4
78,38,7,2024-02-08,1,128.11
79,85,2,2023-11-15,1,135.07
80,21,2,2023-11-02,7,310.18
81,8,5,2024-01-25,6,149.9
82,90,1,2024-02-01,4,459.92
83,34,5,2023-10-23,4,468.04
84,74,10,2023-07-08,5,351.22
85,26,4,2024-02-01,8,79.39
86,60,4,2024-03-15,2,452.78
87,88,4,2024-03-14,9,97.37
88,5,6,2023-07-09,1,407.28
89,99,2,2024-05-02,10,204.94
90,82,10,2024-03-07,3,193.63
91,78,6,2024-03-23,1,118.45
92,60,4,2024-06-16,1,383.72
93,70,1,2023-10-08,5,206.66
94,44,2,2024-06-07,5,399.1
95,58,8,2023-08-05,7,384.46
96,72,5,2023-12-26,3,95.91
97,54,8,2024-06-20,9,36.14
98,57,2,2024-02-21,7,109.72
99,62,7,2024-01-04,3,89.56
100,69,9,2023-12-29,10,155.08
101,73,6,2024-02-25,7,151.03
102,53,2,2024-05-29,10,111.58
103,67,3,2023-08-31,10,48.72
104,93,6,2024-01-15,4,444.58
105,87,4,2024-06-27,3,45.76
106,2,10,2023-07-04,3,420.35
107,61,6,2023-12-12,2,252.89
108,73,1,2023-12-27,4,429.51
109,66,9,2024-03-15,5,491.08
110,62,3,2023-08-26,10,452.36
111,65,4,2023-11-23,7,85.96
112,98,9,2023-08-31,7,63.86
113,61,1,2023-07-01,9,379.71
114,9,6,2024-04-27,4,241.78
