producto_id,nombre,descripcion,precio
1,Margherita,"Pizza clásica con tomate, mozzarella y albahaca.",150.0
2,Pepperoni,"Pizza con pepperoni, mozzarella y salsa de tomate.",400.0
3,Hawaiana,"Pizza con jamón, piña y mozzarella.",396.56298529277433
4,Cuatro Quesos,"Pizza con una mezcla de mozzarella, gorgonzola, parmesano y queso azul.",226.7105142961542
5,Vegetariana,Pizza con una variedad de verduras frescas y mozzarella.,348.19356901434185
6,Barbacoa,"Pizza con salsa barbacoa, pollo, cebolla y mozzarella.",258.75125605188634
7,Pollo y Champiñones,"Pizza con pollo, champiñones, mozzarella y salsa de tomate.",268.17164519959806
8,Mexicana,"Pizza con jalapeños, chorizo, frijoles y mozzarella.",153.4027587466886
9,Carbonara,"Pizza con crema, panceta, cebolla y mozzarella.",365.8125513839408
10,Prosciutto,"Pizza con jamón crudo, rúcula y mozzarella.",289.85566821960356
