pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,monto_total
1,71,8,2023-08-07,3,327.65
2,78,2,2023-09-09,7,358.3
3,7,7,2023-12-14,5,468.85
4,44,2,2024-06-15,2,395.07
5,58,8,2023-11-05,7,428.85
6,87,1,2023-07-29,5,136.3
7,64,7,2024-03-22,4,160.23
8,79,7,2024-06-06,2,346.19
9,19,9,2023-07-07,10,238.9
10,3,9,2023-07-15,10,451.1
11,26,3,2024-01-02,1,114.84
12,78,1,2023-12-26,7,106.37
13,69,9,2024-02-26,3,225.39
14,30,3,2023-11-17,1,440.81
15,20,10,2023-11-30,1,431.18
16,85,2,2024-04-11,4,375.36
17,18,9,2024-04-12,4,238.88
18,14,5,2024-01-14,10,466.52
19,33,2,2023-11-11,5,34.09
20,80,4,2023-07-06,7,303.04
21,99,5,2024-01-14,9,86.82
22,78,9,2024-01-17,9,159.7
23,66,8,2023-11-24,5,419.33
24,18,10,2024-02-21,4,418.13
25,35,2,2024-02-19,4,319.41
26,74,5,2024-03-01,9,240.96
27,82,10,2023-12-20,6,282.6
28,74,1,2023-12-29,1,392.97
29,3,2,2023-11-03,10,222.09
30,5,3,2024-03-24,4,381.97
31,51,8,2024-01-17,6,123.1
32,39,1,2023-07-05,5,451.1
33,70,4,2023-11-10,6,275.67
34,62,10,2024-01-12,5,170.12
35,2,10,2023-07-14,3,198.39
36,37,5,2023-11-12,4,43.36
37,89,9,2023-10-07,3,427.02
38,32,1,2023-07-15,2,419.77
39,60,2,2023-11-03,10,458.46
40,89,10,2024-04-14,7,423.08
41,84,2,2023-08-23,1,55.73
42,2,10,2023-07-30,8,493.08
43,88,8,2024-06-13,7,392.27
44,27,9,2023-07-10,5,466.12
45,70,10,2023-07-05,7,473.63
46,58,2,2024-05-31,9,228.51
47,7,1,2024-06-01,8,18.35
48,44,10,2023-11-27,1,162.33
49,38,5,2023-12-29,1,34.42
50,73,3,2024-05-02,8,438.65
51,70,6,2024-05-13,9,46.94
52,57,5,2023-10-30,10,106.76
53,67,3,2023-07-14,3,93.65
54,82,6,2023-09-10,8,440.47
55,83,7,2024-06-29,10,19.84
56,18,3,2024-01-18,3,192.33
57,76,10,2024-06-13,9,285.32
58,1,5,2024-01-27,8,452.13
59,37,7,2024-06-28,5,45.44
60,46,3,2024-02-09,3,98.8
61,20,10,2024-01-02,2,179.93
62,3,9,2023-08-02,9,49.47
63,98,7,2023-12-29,7,83.1
64,57,3,2023-08-30,2,275.77
65,94,8,2024-01-31,1,354.03
66,5,8,2023-07-09,10,386.02
67,74,6,2023-12-13,2,238.21
68,16,10,2024-03-24,4,307.59
69,14,1,2024-01-28,1,284.96
70,76,2,2023-07-01,9,376.65
71,25,4,2023-11-28,7,361.51
72,64,3,2023-10-26,8,372.38
73,62,8,2023-07-02,9,91.32
74,12,9,2023-12-12,7,54.63
75,77,2,2024-04-10,6,110.56
76,48,6,2024-06-07,10,207.81
77,48,6,2024-05-01,9,142.62
78,22,7,2024-01-12,5,153.36
79,21,1,2023-09-17,3,25.63
80,57,9,2023-12-23,10,393.1
81,15,8,2024-01-24,10,413.38
82,44,5,2023-11-04,3,68.16
83,40,4,2024-01-28,7,209.95
84,51,7,2024-05-31,10,472.94
85,7,8,2024-04-15,8,345.26
86,58,7,2023-08-20,2,144.43
87,32,9,2023-07-25,10,58.2
88,3,9,2024-03-15,2,108.59
89,73,6,2024-06-25,6,414.23
90,9,4,2024-03-13,3,204.11
91,31,8,2024-04-26,3,442.4
92,70,9,2023-09-16,3,423.45
93,14,8,2023-07-13,1,149.91
94,34,5,2023-08-12,5,40.64
95,24,1,2024-01-20,1,361.76
96,72,3,2023-07-10,8,62.49
97,11,4,2024-04-25,3,392.97
98,92,6,2024-04-25,1,296.92
99,22,5,2024-05-12,5,459.36
100,2,1,2024-06-12,7,414.39
101,77,1,2023-08-28,5,223.65
102,68,6,2023-10-19,1,336.84
103,95,1,2024-05-12,3,175.74
104,26,9,2024-02-26,3,41.26
105,99,8,2024-03-19,8,51.68
106,95,1,2024-05-25,10,416.52
107,98,8,2024-06-23,3,474.62
108,12,4,2023-08-02,6,312.47
109,59,2,2023-08-26,3,353.2
110,82,9,2024-01-23,1,379.87
111,55,10,2024-03-21,2,168.97
112,1,10,2023-12-18,2,462.91
113,97,6,2023-12-19,9,433.32
114,50,6,2024-02-27,7,52.08
115,57,9,2024-05-11,8,496.77
116,12,8,2023-11-12,1,443.05
117,43,4,2024-03-31,2,312.41
118,87,4,2023-11-09,10,156.51
119,32,1,2023-12-14,3,259.43
120,33,4,2024-05-17,2,163.13
121,80,8,2024-04-23,10,383.2
122,9,8,2024-01-04,8,73.49
123,75,9,2023-11-20,2,150.72
124,71,6,2023-09-04,1,318.07
125,35,3,2024-01-09,8,180.27
126,93,3,2023-10-20,10,470.21
127,59,3,2023-07-27,8,423.08
128,71,5,2023-07-05,3,45.58
129,57,4,2023-11-26,8,59.18
130,84,1,2023-08-16,1,276.42
131,18,2,2023-07-19,5,238.25
132,17,7,2023-10-15,6,235.92
133,44,6,2023-07-04,9,174.17
134,28,9,2024-03-30,4,225.79
135,18,8,2023-12-10,4,157.03
136,25,2,2024-06-10,4,449.77
137,15,8,2023-09-05,1,340.24
138,89,5,2024-05-16,5,108.49
139,34,7,2024-03-24,1,369.44
140,86,2,2024-06-01,3,18.23
141,26,2,2024-01-25,10,346.83
142,32,9,2024-02-20,8,489.12
143,71,7,2023-10-24,6,400.0
144,3,9,2024-06-24,6,299.16
145,48,5,2023-08-09,9,6.47
146,33,9,2023-07-30,6,304.01
147,8,4,2023-11-05,10,490.92
148,11,5,2024-02-14,9,73.05
149,51,1,2023-10-10,8,136.17
150,30,2,2023-10-26,1,16.27
151,95,1,2023-10-08,2,59.27
152,41,6,2023-10-14,8,302.92
153,77,9,2024-01-01,6,73.18
154,21,10,2024-04-07,10,264.79
155,61,9,2023-07-09,9,9.45
156,86,10,2023-08-19,10,234.88
157,36,9,2024-03-19,9,229.58
158,65,6,2024-02-09,1,308.64
159,26,4,2023-08-02,7,498.14
160,66,6,2024-05-12,1,219.2
161,17,10,2023-07-16,4,415.85
162,51,3,2024-01-01,3,398.37
163,16,4,2024-03-19,6,303.75
